SYMBOL,Industry,Sector,fiftyTwoWeekHigh,marketCap,dividend Rate,trailing PE,forward PE,priceToSales,Profit Margins,Operating Margins,Revenue Growth,Earnings Growth,ROA,ROE,Volume,DebtToEquity
TORNTPHARM,Drug Manufacturers - Specialty & Generic,Healthcare,3590.7,1161830858752,28.0,64.51513,,10.351456,0.16058001,0.25649,0.086,0.174,0.117130004,0.25366,551862,41.658
GODREJCP,Household & Personal Products,Consumer Defensive,1541.85,1321671852032,25.0,,58.507023,9.411498,-0.02636,0.19409001,0.018,0.135,0.09312,-0.02776,3223334,31.458
ITC,Tobacco,Consumer Defensive,528.5,6033428185088,15.0,29.408537,24.925064,8.030088,0.27337998,0.301,0.167,0.018,0.17,0.28645,30957425,0.402
PIDILITIND,Specialty Chemicals,Basic Materials,3415.0,1616858447872,16.0,84.749405,156.98518,12.769276,0.15105,0.21049,0.052,0.185,0.13292,0.23136999,479931,4.253
AXISBANK,Banks - Regional,Financial Services,1339.65,3679420678144,1.0,13.2444315,,5.5111175,0.41832,0.47516,0.102,0.188,0.01918,0.17764999,12798222,
UNITDSPR,Beverages - Wineries & Distilleries,Consumer Defensive,1647.5,1076624883712,9.0,74.08408,,9.452369,0.1245,0.15225,-0.008,0.004,0.09612001,0.19635999,1101473,6.787
BEL,Aerospace & Defense,Industrials,340.5,1990818660352,2.8,43.85668,36.313335,9.227557,0.21044001,0.27987,0.149,0.389,0.08809,0.27934,40403785,0.344
BRITANNIA,Packaged Foods,Consumer Defensive,6469.9,1383741784064,73.5,62.500275,69.674324,8.159928,0.12902,0.15993,0.06,0.105,,,176678,52.066
HINDUNILVR,Household & Personal Products,Consumer Defensive,3035.0,6245219041280,43.0,57.79721,,10.006761,0.16452,0.21694,0.019,-0.024,0.10564999,0.20233999,2760987,3.238
BAJAJHLDNG,Asset Management,Financial Services,11350.0,1137532600320,130.0,15.2671175,,63.374413,4.12681,0.81338996,0.22,-0.037,0.01476,0.118030004,23473,0.068
DIVISLAB,Drug Manufacturers - Specialty & Generic,Healthcare,6275.85,1534609850368,30.0,91.74338,102.67762,18.749052,0.20452,0.24835,0.191,0.208,,,1007907,0.022
LODHA,Real Estate - Development,Real Estate,1649.95,1082174668800,2.25,51.540474,,8.71225,0.16641001,0.24302,0.501,1.024,0.04513,0.13235,898226,43.778
ICICIBANK,Banks - Regional,Financial Services,1362.35,8848285892608,10.0,19.80205,33.090405,5.245654,0.26865,0.37387002,0.304,0.095,0.021370001,0.18274,13545764,
SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1960.35,4463713583104,13.5,42.915802,56.927784,9.070973,0.21113001,0.23733,0.06,0.405,,,2147984,4.878
KOTAKBANK,Banks - Regional,Financial Services,1942.0,3516756656128,2.0,16.128841,,4.6946826,0.29495,0.35261002,0.211,0.13,0.0298,0.16479999,2829210,
HCLTECH,Information Technology Services,Technology,1888.5,5017497501696,48.0,29.85254,26.779675,367.47455,0.14677,0.18577999,0.068,0.098,0.13455,0.24864,4077919,8.393
VBL,Beverages - Non-Alcoholic,Consumer Defensive,681.12,2042636664832,1.0,78.15857,61.05894,10.758336,0.13385999,0.18617001,0.241,0.24,,,4545198,77.304
